Label,OriginalCount,SampledCount
Rock music,53,53
Power tool,53,53
Tuning fork,53,53
Breathing,53,53
Typing,53,53
Foghorn,53,53
Single-lens reflex camera,51,51
Scrape,51,51
Folk music,51,51
Whistling,50,50
Gasp,50,50
Fire alarm,49,49
Whoop,49,49
Rattle (instrument),49,49
Computer keyboard,49,49
Zipper (clothing),48,48
French horn,48,48
Jackhammer,48,48
Chirp tone,47,47
Cello,47,47
Crack,47,47
Maraca,46,46
Cowbell,46,46
Crunch,46,46
"Telephone dialing, DTMF",46,46
Accordion,45,45
Child singing,45,45
Sigh,44,44
Effects unit,43,43
Country,43,43
Theremin,43,43
Sanding,43,43
Sine wave,42,42
Hammond organ,41,41
Stomach rumble,40,40
Knock,40,40
Purr,39,39
Throbbing,38,38
Flute,38,38
Flamenco,37,37
Sawing,37,37
"Smoke detector, smoke alarm",37,37
Coin (dropping),37,37
Caterwaul,36,36
New-age music,35,35
Speech synthesizer,35,35
Crushing,34,34
Saxophone,33,33
"Smash, crash",33,33
Echo,33,33
Synthetic singing,33,33
Breaking,32,32
Vacuum cleaner,32,32
Double bass,31,31
"Crumpling, crinkling",30,30
Filing (rasp),30,30
Clarinet,30,30
"Cattle, bovinae",29,29
Light engine (high frequency),29,29
Humming,29,29
Tearing,29,29
Zither,29,29
Snicker,28,28
Pop music,28,28
Hands,28,28
String section,28,28
Rimshot,27,27
"Whack, thwack",27,27
"Roaring cats (lions, tigers)",26,26
Electric piano,26,26
Bass guitar,25,25
Camera,25,25
Clicking,25,25
Cash register,25,25
Heavy metal,25,25
"Heart sounds, heartbeat",25,25
Scratch,25,25
Heart murmur,25,25
Boom,24,24
Alarm clock,24,24
Telephone bell ringing,24,24
"Air horn, truck horn",24,24
Electronic organ,23,23
Shout,23,23
Middle Eastern music,23,23
Pulse,23,23
Harp,23,23
Whispering,22,22
Bluegrass,22,22
Squeak,22,22
Steelpan,22,22
Carnatic music,22,22
Wedding music,22,22
"Electric shaver, electric razor",22,22
Cacophony,21,21
Yodeling,21,21
Tire squeal,20,20
Didgeridoo,20,20
Pulleys,20,20
Drill,20,20
Snoring,20,20
Fusillade,20,20
Salsa music,19,19
Shatter,19,19
Pig,19,19
Theme music,19,19
Screaming,19,19
Electric toothbrush,19,19
Hiccup,19,19
"Slap, smack",18,18
Moo,17,17
Mandolin,17,17
Bang,17,17
Tabla,17,17
"Baby cry, infant cry",17,17
Ukulele,16,16
Roar,16,16
Lullaby,16,16
Song,16,16
Techno,16,16
Shuffling cards,16,16
"Jingle, tinkle",16,16
Ding,16,16
Vibraphone,16,16
Wheeze,15,15
Hair dryer,15,15
Disco,15,15
Dance music,15,15
Splinter,15,15
Chainsaw,15,15
Harmonica,15,15
Yell,14,14
Beatboxing,14,14
Banjo,14,14
Background music,14,14
Steam whistle,14,14
House music,14,14
Ringtone,14,14
Finger snapping,13,13
Sitar,13,13
Cap gun,13,13
Gargling,13,13
Whimper,13,13
Music of Asia,13,13
Bicycle bell,13,13
Clang,13,13
Distortion,12,12
Scratching (performance technique),12,12
Pant,12,12
Electronica,12,12
Shofar,12,12
Roll,12,12
Sampler,11,11
Blues,11,11
Blender,11,11
Baby laughter,11,11
Flap,11,11
Harmonic,11,11
Psychedelic rock,11,11
Throat clearing,10,10
Howl,10,10
Giggle,10,10
Cough,10,10
"Crying, sobbing",10,10
Sniff,10,10
Christmas music,9,9
Ding-dong,9,9
Trance music,9,9
Babbling,9,9
Bellow,9,9
Drum machine,8,8
Sidetone,8,8
Plop,8,8
Sneeze,8,8
Oink,8,8
Reverberation,7,7
Skidding,7,7
Cymbal,7,7
Hip hop music,7,7
Harpsichord,7,7
Tender music,7,7
Electronic tuner,7,7
"Dental drill, dentist's drill",7,7
"Burping, eructation",6,6
Ska,6,6
Video game music,6,6
Growling,6,6
Swing music,6,6
Sad music,5,5
Music of Bollywood,5,5
Punk rock,5,5
Doorbell,5,5
Belly laugh,4,4
Hi-hat,4,4
Dial tone,4,4
Fart,4,4
Grunt,4,4
"Wail, moan",3,3
Boing,3,3
Tapping (guitar technique),3,3
Rapping,3,3
Busy signal,3,3
Dubstep,3,3
Progressive rock,3,3
Chorus effect,3,3
Electronic dance music,3,3
Jingle (music),2,2
Music for children,2,2
Groan,2,2
Toothbrush,1,1
Exciting music,1,1
Funny music,1,1
